token_address,name,symbol,from,to,value_normalized
ETH,Ether,ETH,0x66466428990E0F42A4C54f64bee0Db6BF2336DE5,0xD322A49006FC828F9B5B37Ab215F99B4E5caB19C,330.0
ETH,Ether,ETH,0xD322A49006FC828F9B5B37Ab215F99B4E5caB19C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,330.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,0xD322A49006FC828F9B5B37Ab215F99B4E5caB19C,0x4d5F47FA6A74757f35C14fD3a6Ef8E3C9BC514E8,330.0
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,Aave Ethereum WETH,N/A,0x0000000000000000000000000000000000000000,0x66466428990E0F42A4C54f64bee0Db6BF2336DE5,346.6442393399336
