Contract,Storage Slot,New Value
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x92b852c98c36b839a4f063e14fb9b25fefe67c135a9207e6f0b14498915ed75,0x11e3ab8395c6e80000
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x92b852c98c36b839a4f063e14fb9b25fefe67c135a9207e6f0b14498915ed75,0x0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb064600732a82908427d092d333e607598a6238a59aeb45e1288cb0bac7161cf,0x15b31b1b61f7afdb516c
0x1ef34b91afc368174f579067d1db94325cdc7946,0xf81d8d79f42adb4c73cc3aa0c78e25d3343882d0313c0b80ece3d3a103ef1ec0,0x5f0c8b1c3bce38f6536ebb000000000363e74566ad2ad352da7ba5
0x1ef34b91afc368174f579067d1db94325cdc7946,0xf81d8d79f42adb4c73cc3aa0c78e25d3343882d0313c0b80ece3d3a103ef1ec1,0x74d4866ba154dbe9a42fff00000000037a59c892c85916079860db
0x1ef34b91afc368174f579067d1db94325cdc7946,0xf81d8d79f42adb4c73cc3aa0c78e25d3343882d0313c0b80ece3d3a103ef1ec7,0x15b31b04748059d8d2f500000000000000040ad732c564793c2c
0x97f5b96c7dac8547251330b63760951a4fab448d,0x9902690fea744a5a4f115f6c4c27dbee1a4d0ae13c17b235ee96823092bf4593,0x363e74566ad2ad352da7ba500000000000000d4503cbf492e629302
0x97f5b96c7dac8547251330b63760951a4fab448d,0x36,0x1e2790e22a5bfac270ed8
0x97f5b96c7dac8547251330b63760951a4fab448d,0x9902690fea744a5a4f115f6c4c27dbee1a4d0ae13c17b235ee96823092bf4593,0x363e74566ad2ad352da7ba500000000000000e55d066f046a3626a7
